,Nspecies,Nreacs,N,t,method
0,10,8,10,27,CUDA
1,10,8,20,28,CUDA
2,10,8,50,31,CUDA
3,10,8,100,45,CUDA
4,10,8,250,82,CUDA
5,10,8,500,138,CUDA
6,10,8,750,167,CUDA
7,10,8,1000,220,CUDA
8,20,16,10,26,CUDA
9,20,16,20,26,CUDA
10,20,16,50,30,CUDA
11,20,16,100,42,CUDA
12,20,16,250,74,CUDA
13,20,16,500,138,CUDA
14,20,16,750,203,CUDA
15,20,16,1000,270,CUDA
16,50,40,10,1030,CUDA
17,50,40,20,1026,CUDA
18,50,40,50,1124,CUDA
19,50,40,100,1551,CUDA
20,50,40,250,2576,CUDA
21,50,40,500,3950,CUDA
22,50,40,750,5897,CUDA
23,50,40,1000,7851,CUDA
24,100,80,10,8969,CUDA
25,100,80,20,9195,CUDA
26,100,80,50,10756,CUDA
27,100,80,100,13154,CUDA
28,100,80,250,19334,CUDA
29,100,80,500,25214,CUDA
30,100,80,750,35765,CUDA
31,100,80,1000,47679,CUDA
32,250,200,10,98665,CUDA
33,250,200,20,98478,CUDA
34,250,200,50,101030,CUDA
35,250,200,100,111321,CUDA
36,250,200,250,139226,CUDA
37,250,200,500,190344,CUDA
38,250,200,750,221345,CUDA
39,250,200,1000,254316,CUDA
40,500,400,10,737162,CUDA
41,500,400,20,737593,CUDA
42,500,400,50,716837,CUDA
43,500,400,100,764985,CUDA
44,500,400,250,865614,CUDA
45,500,400,500,1093690,CUDA
46,500,400,750,1284787,CUDA
47,500,400,1000,1484966,CUDA
48,750,600,10,2150948,CUDA
49,750,600,20,2010887,CUDA
50,750,600,50,2106032,CUDA
51,750,600,100,2223753,CUDA
52,750,600,250,2145133,CUDA
53,750,600,500,2751262,CUDA
54,750,600,750,3203952,CUDA
55,750,600,1000,3687960,CUDA
